Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Singapore,SGP,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,45.9066,45.2172,42.4426,44.523,41.7315,41.9694,43.3583,42.9155,43.7607,48.8859,51.3367,50.1515,52.6259,53.8631,55.1746,52.9724,56.8881,54.2117,55.8876,53.8768,55.7179,56.3467,56.1013,58.8681,..
Singapore,SGP,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,854972067.039106,892290502.793296,936089385.47486,985865921.787709,1022905027.93296,1361811508.37989,1417888715.0838,1427017206.70391,1353212122.90503,1259200446.92737,1407880446.92737,1236428100.55866,1353071061.45251,1592564636.87151,1686525977.65363,1797836648.04469,1887728480.44693
Sint Maarten (Dutch part),SXM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,3.19999269219366,4.60000341415395,1.39054456773131,1.30673103459678,1.58038221539113,0.105813149997005,0.96775836306881,-7.53521399882428,-6.85698299227944,10.9650009352392,-13.3167887221567,4.57759677933345,13.9000012614164,3.79999769985537,3.00000089532888,3.40000000000001
Sint Maarten (Dutch part),SXM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.525,74.585,74.588,74.618,74.681,74.779,74.812,74.852,74.796,74.821,74.868,75.125,75.391,75.735,75.899,75.952,75.455,75.693,75.68,75.002,74.505,76.18,76.371,76.528,..
Sint Maarten (Dutch part),SXM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sint Maarten (Dutch part),SXM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,0.300601202404805,4.43245754245754,-0.417929020080758,5.95763688760801,1.33857621672882,4.58475435650401,4.01518421081576,2.5286478853837,1.88675466275266,0.330027165141066,0.111682655737579,2.19201010962985,..,..,..,..,..,..,..,..
Sint Maarten (Dutch part),SXM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,118.293650793651,..,111.371100164204,..,..,..,..,..,..,..,..,..,..,..
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,30726,30960,31327,31690,32057,32428,32791,33145,33491,33794,34267,35023,35854,36672,37471,38249,38996,39712,40385,41008,41571,42139,42749,43350,43923
Sint Maarten (Dutch part),SXM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,..,..,..,..,..,..,..,..,-5.17904034375746,1.37020456734856,4.62971054068815,3.50338478659669,1.95861278993458,2.91188308245256,4.74783634858124,-3.80519905244473,5.24677633401135,1.79286284699262,1.98179684518215,1.0725730171288,2.68405106195788,2.06435551530026,..
